applicant_id,first_name,last_name,age,gender,county_id,education_level,email
APP00001,Sharon,Wambui,33,   female,C001,Bachelor's,sharonwambuiapp00001@gmail.com
APP00002,Irene,Barasa,23,Female,C002,Diploma,irenebarasaapp00002@gmail.com
APP00003,Faith,Maina,30,Female,C007,Diploma,faithmainaapp00003@gmail.com
APP00004,Rose,Ndungu,29,Female,C008,Master's,rosendunguapp00004@gmail.com
APP00005,Jackline,Munyao,18,Female,C007,,jacklinemunyaoapp00005@gmail.com
APP00006,     Patrick,Musyoka,18, Male,C009,KCSE,patrickmusyokaapp00006@outlook.com
APP00007,Halima,Mutua,32,Female,C007,Bachelor's,halimamutuaapp00007@gmail.com
APP00008,Caroline,Kiptoo,20,female,C008,,carolinekiptooapp00008@gmail.com
APP00009,Dorcas,      Munyao,24,Female,C008,KCSE,dorcasmunyaoapp00009@gmail.com
APP00010,Halima,Khalfan,19,Female,C009,KCSE,halimakhalfanapp00010@gmail.com
APP00011,Halima        ,Kiptoo,27,Female,C005,Certificate,halimakiptooapp00011@outlook.com
APP00012,Kelvin,Chebet,22,male,C008,KCSE,kelvinchebetapp00012@gmail.com
APP00013,Purity,Wambui,18,   Female,C005,Diploma,puritywambuiapp00013@gmail.com
APP00014,Esther,Kariuki,31,Female,C001,Master's,estherkariukiapp00014@gmail.com
APP00015,Irene,      Makena,23,Female,C007,Diploma,irenemakenaapp00015@gmail.com
APP00016,Mercy,Otieno,18,Female,C002,KCSE,mercyotienoapp00016@gmail.com
APP00017,Edna,      Makena,26,Female,C001,Certificate,ednamakenaapp00017@outlook.com
APP00018,Mary,Musyoka,32,Female,C003,Bachelor's,marymusyokaapp00018@yahoo.com
APP00019,Joy,Chebet,27,Female,C006,Diploma,joychebetapp00019@gmail.com
APP00020,Esther,Nyongesa,25,Female,C007,,esthernyongesaapp00020@gmail.com
APP00021,Grace,Odhiambo,22,Female,C006,KCSE,graceodhiamboapp00021@gmail.com
APP00022,Joy,Rotich,20,Female,C001,KCSE,joyrotichapp00022@gmail.com
APP00023,Janet,Odhiambo,25,   female,C007,Certificate,janetodhiamboapp00023@gmail.com
APP00024,Rose,Njoroge,24,Female,C004,KCSE,rosenjorogeapp00024@gmail.com
APP00025,Brenda,Munyao,25,Female,C002,Certificate,brendamunyaoapp00025@outlook.com
APP00026,Amina,Njoroge,26,Female,C001,Diploma,aminanjorogeapp00026@gmail.com
APP00027,Esther,Munyao,24,Female,C007,Bachelor's,esthermunyaoapp00027@yahoo.com
APP00028,Paul,Abdalla,25,Male,C009,KCSE,paulabdallaapp00028@gmail.com
APP00029,Sharon,Makena,24,Female,C003,KCSE,sharonmakenaapp00029@gmail.com
APP00030,Mary,Nyongesa,24, Female,C006,Diploma,marynyongesaapp00030@gmail.com
APP00031,Ann,Barasa,35,Female,C007,Bachelor's,annbarasaapp00031@yahoo.com
APP00032,Fatma,Kiptoo,23,Female,C006,Certificate,fatmakiptooapp00032@gmail.com
APP00033,Mercy,Mwangi,19,Female,C009,Certificate,mercymwangiapp00033@gmail.com
APP00034,Lydia,Maina,25,Female,C008,Diploma,lydiamainaapp00034@gmail.com
APP00035,Amina,Kariuki,25,female,C001,KCSE,aminakariukiapp00035@gmail.com
APP00036,Joy,Njoroge,29,Female,C007,Bachelor's,joynjorogeapp00036@gmail.com
APP00037,Grace,Abdalla,24,Female,C001,Diploma,graceabdallaapp00037@gmail.com
APP00038,Peter,Khalfan,34,Male,C002,Bachelor's,peterkhalfanapp00038@yahoo.com
APP00039,Dorcas,Odhiambo,34,Female,C007,Bachelor's,dorcasodhiamboapp00039@gmail.com
APP00040,Diana,Chebet,25,Female,C006,Diploma,dianachebetapp00040@gmail.com
APP00041,Naomi,Otieno,22,Female,C004,KCSE,naomiotienoapp00041@gmail.com
APP00042,Brenda,Abdalla,18,   female,C005,KCSE,brendaabdallaapp00042@gmail.com
APP00043,Caroline,Khalfan,26,Female,C009,Bachelor's,carolinekhalfanapp00043@gmail.com
APP00044,Amina,Juma,24,Female,C001,Diploma,aminajumaapp00044@gmail.com
APP00045,Diana,Barasa,30,Female,C001,Bachelor's,dianabarasaapp00045@gmail.com
APP00046,Beatrice,Otieno,25,Female,C008,KCSE,beatriceotienoapp00046@yahoo.com
APP00047,Eunice,Kiptoo,30,female,C009,Bachelor's,eunicekiptooapp00047@gmail.com
APP00048,Ann,Gitau,32,    female,C001,Diploma,anngitauapp00048@gmail.com
APP00049,Beatrice,Mohamed,23,Female,C003,Diploma,beatricemohamedapp00049@gmail.com
APP00050,Fatma,Musyoka,32,   Female,C001,Diploma,fatmamusyokaapp00050@gmail.com
APP00051,Fatma,Otieno,25,Female,C001,Certificate,fatmaotienoapp00051@gmail.com
APP00052,Purity,Mwangi,32,Female      ,C001,Bachelor's,puritymwangiapp00052@gmail.com
APP00053,Ann,Ouma,24,Female,C008,Diploma,annoumaapp00053@yahoo.com
APP00054,Janet,Maina,23,Female,C004,Certificate,janetmainaapp00054@gmail.com
APP00055,Christine,Abdalla,21,Female,C004,KCSE,christineabdallaapp00055@gmail.com
APP00056,Edna,Wambui,25,Female,C003,KCSE,ednawambuiapp00056@gmail.com
APP00057,Sharon,Ndungu,20,Female,C008,KCSE,sharonndunguapp00057@yahoo.com
APP00058,Janet,Musyoka,28,Female,C009,Bachelor's,janetmusyokaapp00058@gmail.com
APP00059,Beatrice,Muli,27,Female,C001,Certificate,beatricemuliapp00059@yahoo.com
APP00060,Faith,Barasa,24,Female,C004,Bachelor's,faithbarasaapp00060@gmail.com
APP00061,Mary,Barasa,27,Female,C008,Bachelor's,marybarasaapp00061@gmail.com
APP00062,Irene,Otieno,20,Female,C005,KCSE,ireneotienoapp00062@gmail.com
APP00063,Daniel,Odhiambo,18,male         ,C005,KCSE,danielodhiamboapp00063@gmail.com
APP00064,Rose,Khalfan,25,Female,C009,Diploma,rosekhalfanapp00064@gmail.com
APP00065,Mary,Ouma,19,Female,C003,Certificate,maryoumaapp00065@gmail.com
APP00066,Grace,Ndungu,20,Female,C001,KCSE,gracendunguapp00066@yahoo.com
APP00067,Martin,Makena,29,Male,C006,Diploma,martinmakenaapp00067@gmail.com
APP00068,Sharon,Mutua,18,Female,C007,Diploma,sharonmutuaapp00068@gmail.com
APP00069,Caroline,Gitau,18,Female,C003,KCSE,carolinegitauapp00069@gmail.com
APP00070,Rose,Kiptoo,23,Female,C002,Diploma,rosekiptooapp00070@gmail.com
APP00071,Eunice,Njoroge,34,Female,C002,Bachelor's,eunicenjorogeapp00071@yahoo.com
APP00072,Gladys,Chebet,20,Female,C001,KCSE,gladyschebetapp00072@outlook.com
APP00073,Diana,Mohamed,18,Female,C001,KCSE,dianamohamedapp00073@outlook.com
APP00074,Grace,Makena,18,Female,C004,Certificate,gracemakenaapp00074@yahoo.com
APP00075,Dorcas,Odhiambo,18,Female,C001,KCSE,dorcasodhiamboapp00075@hotmail.com
APP00076,Victor,Nyambura,21,Male,C009,KCSE,victornyamburaapp00076@gmail.com
APP00077,Victor,Abdalla,21,Male,C002,Diploma,victorabdallaapp00077@gmail.com
APP00078,Esther,Chebet,22,female,C008,KCSE,estherchebetapp00078@gmail.com
APP00079,Dennis,Mutua,18,male,C006,KCSE,dennismutuaapp00079@gmail.com
APP00080,Fatma,Koech,20,Female,C008,Diploma,fatmakoechapp00080@gmail.com
APP00081,Sharon,Omondi,20,Female,C001,KCSE,sharonomondiapp00081@gmail.com
APP00082,Jackline,Omondi,18,Female,C006,KCSE,jacklineomondiapp00082@yahoo.com
APP00083,Naomi,Ouma,27,Female,C001,Certificate,naomioumaapp00083@gmail.com
APP00084,Joy,Mohamed,20,Female,C005,KCSE,joymohamedapp00084@outlook.com
APP00085,Mary,Njoroge,20,Female,C009,KCSE,marynjorogeapp00085@gmail.com
APP00086,Edna,Maina,21,Female,C009,Certificate,ednamainaapp00086@gmail.com
APP00087,Victor,Ndungu,23,Male,C001,Certificate,victorndunguapp00087@gmail.com
APP00088,Caroline,Koech,25,Female,C002,Bachelor's,carolinekoechapp00088@gmail.com
APP00089,Caroline,Musyoka,19,Female,C009,KCSE,carolinemusyokaapp00089@gmail.com
APP00090,Gladys,Njoroge,20,Female,C008,Certificate,gladysnjorogeapp00090@gmail.com
APP00091,Mercy,Abdalla,22,Female,C001,KCSE,mercyabdallaapp00091@gmail.com
APP00092,Joy,Nyongesa,35,Female,C004,Diploma,joynyongesaapp00092@outlook.com
APP00093,Jackline,Otieno,23,Female,C008,Bachelor's,jacklineotienoapp00093@gmail.com
APP00094,Faith,Ali,23,Female,C003,Certificate,faithaliapp00094@yahoo.com
APP00095,Lydia,Abdalla,18,Female,C001,Certificate,lydiaabdallaapp00095@gmail.com
APP00096,Lydia,Mohamed,21,Female,C008,,lydiamohamedapp00096@gmail.com
APP00097,Grace,Odhiambo,25,Female,C006,KCSE,graceodhiamboapp00097@yahoo.com
APP00098,Ann,Gitau,25,Female,C007,Bachelor's,anngitauapp00098@outlook.com
APP00099,Amina,Makena,22,Female,C006,KCSE,aminamakenaapp00099@hotmail.com
APP00100,Faith,Kamau,31,Female,C007,Diploma,faithkamauapp00100@gmail.com
APP00101,Janet,Ouma,31,Female,C007,Diploma,janetoumaapp00101@outlook.com
APP00102,Brenda,Munyao,18,Female,C003,,brendamunyaoapp00102@gmail.com
APP00103,Rose,Omondi,31,Female,C001,Bachelor's,roseomondiapp00103@gmail.com
APP00104,Faith,Otieno,28,Female,C004,Bachelor's,faithotienoapp00104@gmail.com
APP00105,Faith,Koech,26,Female,C002,KCSE,faithkoechapp00105@gmail.com
APP00106,Amina,Chebet,24,Female,C008,KCSE,aminachebetapp00106@outlook.com
